City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Harlingen,US,26.1906,-97.6961,77,69,1,26.46,clear sky
1,Mataura,NZ,-46.1927,168.8643,73,46,0,14,clear sky
2,Luderitz,NA,-26.6481,15.1594,67.68,72,0,8.97,clear sky
3,Grand Forks,US,47.9417,-97.4337,50,29,1,10.36,clear sky
4,Ushuaia,AR,-54.8,-68.3,42.8,65,75,23.02,broken clouds
5,Dikson,RU,73.5069,80.5464,-21.51,96,100,16.69,overcast clouds
6,Jamestown,US,42.097,-79.2353,34,47,1,7.65,clear sky
7,Cherskiy,RU,68.75,161.3,-4.23,96,100,15.26,light snow
8,Talnakh,RU,69.4865,88.3972,-21.21,98,100,8.66,light snow
9,Bluff,NZ,-46.6,168.3333,73,46,4,14,clear sky
10,Tasiilaq,GL,65.6145,-37.6368,24.8,86,75,27.63,snow
11,Busselton,AU,-33.65,115.3333,60.01,71,0,4,clear sky
12,Cape Town,ZA,-33.9258,18.4232,66.99,94,75,6.91,broken clouds
13,Yellowknife,CA,62.456,-114.3525,0,65,90,3.44,light snow
14,Nikolskoye,RU,59.7035,30.7861,36,87,75,6.71,broken clouds
15,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,72,90,8.05,overcast clouds
16,Geraldton,AU,-28.7667,114.6,75.2,33,0,28.77,clear sky
17,Rikitea,PF,-23.1203,-134.9692,80.46,73,45,9.22,scattered clouds
18,Hermanus,ZA,-34.4187,19.2345,64.99,93,34,1.99,light rain
19,Ushuaia,AR,-54.8,-68.3,42.8,65,75,23.02,broken clouds
20,Khatanga,RU,71.9667,102.5,-20.51,94,66,12.03,broken clouds
21,Jamestown,US,42.097,-79.2353,34,47,1,7.65,clear sky
22,Ribeira Grande,PT,38.5167,-28.7,61.81,84,93,27.76,overcast clouds
23,Rikitea,PF,-23.1203,-134.9692,80.46,73,45,9.22,scattered clouds
24,Pasighat,IN,28.0667,95.3333,65.43,85,47,2.89,scattered clouds
25,Puerto Ayora,EC,-0.7393,-90.3518,80.01,88,75,8.01,light rain
26,Yellowknife,CA,62.456,-114.3525,0,65,90,3.44,light snow
27,Punta Arenas,CL,-53.15,-70.9167,48,53,40,12.66,scattered clouds
28,Carnarvon,AU,-24.8667,113.6333,86,62,1,12.66,clear sky
29,Atuona,PF,-9.8,-139.0333,79.39,63,36,4.83,scattered clouds
30,Souillac,MU,-20.5167,57.5167,80.6,83,75,8.05,light rain
31,Grand Gaube,MU,-20.0064,57.6608,77,82,100,3,overcast clouds
32,Olafsvik,IS,64.8945,-23.7142,28.47,70,74,13.89,broken clouds
33,Rikitea,PF,-23.1203,-134.9692,80.46,73,45,9.22,scattered clouds
34,Gold Coast,AU,-28,153.4333,84.2,58,75,17.27,broken clouds
35,Canoinhas,BR,-26.1772,-50.39,70.03,70,51,3.49,broken clouds
36,Hilo,US,19.7297,-155.09,71.6,83,90,3.44,light rain
37,Cabo San Lucas,MX,22.8909,-109.9124,70,60,1,9.22,clear sky
38,Jamestown,US,42.097,-79.2353,34,47,1,7.65,clear sky
39,Whitehorse,CA,60.7161,-135.0538,5,66,90,10.36,snow
40,Punta Arenas,CL,-53.15,-70.9167,48,53,40,12.66,scattered clouds
41,Sioux Lookout,CA,50.1001,-91.917,37.4,38,40,13.8,scattered clouds
42,Soe,ID,-9.8607,124.284,72.21,86,100,1.45,overcast clouds
43,Itaqui,BR,-29.1253,-56.5531,77.99,44,13,5.97,few clouds
44,Vardo,NO,70.3705,31.1107,25.81,88,100,8.19,overcast clouds
45,Bathsheba,BB,13.2167,-59.5167,78.8,69,40,10.36,scattered clouds
46,Kincardine,GB,56.0667,-3.7167,39.2,87,0,11.5,clear sky
47,Iqaluit,CA,63.7506,-68.5145,-18,69,75,13.8,snow
48,Punta Arenas,CL,-53.15,-70.9167,48,53,40,12.66,scattered clouds
49,Macaubas,BR,-13.0194,-42.6986,69.31,40,12,5.14,few clouds
50,Camacha,PT,33.0833,-16.3333,59,67,75,14.97,broken clouds
51,Balabac,PH,7.9868,117.0645,79.81,82,100,7.34,overcast clouds
52,Ushuaia,AR,-54.8,-68.3,42.8,65,75,23.02,broken clouds
53,Vaini,TO,-21.2,-175.2,78.8,83,75,8.05,light rain
54,Busselton,AU,-33.65,115.3333,60.01,71,0,4,clear sky
55,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,84,90,4.61,overcast clouds
56,Vanavara,RU,60.34,102.2797,2.91,92,66,11.34,broken clouds
57,Deloraine,AU,-41.5333,146.6667,59,61,8,3,clear sky
58,Vaini,TO,-21.2,-175.2,78.8,83,75,8.05,light rain
59,Mataura,NZ,-46.1927,168.8643,73,46,0,14,clear sky
60,Plouzane,FR,48.3833,-4.6167,44.6,75,20,10.36,few clouds
61,Punta Arenas,CL,-53.15,-70.9167,48,53,40,12.66,scattered clouds
62,Paamiut,GL,61.994,-49.6678,17.33,52,100,8.5,overcast clouds
63,Ribeira Grande,PT,38.5167,-28.7,61.81,84,93,27.76,overcast clouds
64,Tilichiki,RU,60.4667,166.1,3.7,80,100,16.58,overcast clouds
65,Ushuaia,AR,-54.8,-68.3,42.8,65,75,23.02,broken clouds
66,East London,ZA,-33.0153,27.9116,75.61,73,20,13.27,few clouds
67,Chuy,UY,-33.6971,-53.4616,62.73,74,9,6.17,clear sky
68,Cape Town,ZA,-33.9258,18.4232,66.99,94,75,6.91,broken clouds
69,Rikitea,PF,-23.1203,-134.9692,80.46,73,45,9.22,scattered clouds
70,Sept-Iles,CA,50.2001,-66.3821,18,45,75,10.36,broken clouds
71,Albany,US,42.6001,-73.9662,36,43,34,4.59,scattered clouds
72,Aksarka,RU,66.5606,67.7975,7.61,89,80,11.12,broken clouds
73,Punta Arenas,CL,-53.15,-70.9167,48,53,40,12.66,scattered clouds
74,Punta Arenas,CL,-53.15,-70.9167,48,53,40,12.66,scattered clouds
75,Rikitea,PF,-23.1203,-134.9692,80.46,73,45,9.22,scattered clouds
76,Mataura,NZ,-46.1927,168.8643,73,46,0,14,clear sky
77,Darhan,MN,49.4867,105.9228,39.38,45,100,3.91,overcast clouds
78,Mataura,NZ,-46.1927,168.8643,73,46,0,14,clear sky
79,Paamiut,GL,61.994,-49.6678,17.33,52,100,8.5,overcast clouds
80,Gat,IL,31.61,34.7642,54,89,0,1.01,clear sky
81,Albany,US,42.6001,-73.9662,36,43,34,4.59,scattered clouds
82,Panacan,PH,9.2463,118.4082,77,88,90,11.5,overcast clouds
83,Namibe,AO,-15.1961,12.1522,75.07,80,40,5.61,light rain
84,Rikitea,PF,-23.1203,-134.9692,80.46,73,45,9.22,scattered clouds
85,Zhigansk,RU,66.7697,123.3711,5.99,94,99,11.9,overcast clouds
86,Bilibino,RU,68.0546,166.4372,-3.24,94,100,4.38,light snow
87,Kavieng,PG,-2.5744,150.7967,84.42,60,6,1.99,clear sky
88,Rikitea,PF,-23.1203,-134.9692,80.46,73,45,9.22,scattered clouds
89,Albany,US,42.6001,-73.9662,36,43,34,4.59,scattered clouds
90,Mount Gambier,AU,-37.8333,140.7667,59,51,40,8.05,scattered clouds
91,Albany,US,42.6001,-73.9662,36,43,34,4.59,scattered clouds
92,Bengkulu,ID,-3.8004,102.2655,76.33,79,93,4.07,overcast clouds
93,Hohhot,CN,40.8106,111.6522,39.2,70,40,2.24,scattered clouds
94,Tiksi,RU,71.6872,128.8694,-2.45,90,73,6.89,broken clouds
95,Rikitea,PF,-23.1203,-134.9692,80.46,73,45,9.22,scattered clouds
96,Mar Del Plata,AR,-38.0023,-57.5575,69.01,82,0,11.86,clear sky
97,Saskylakh,RU,71.9167,114.0833,-5.89,95,59,11.88,broken clouds
98,Verkhoyansk,RU,67.5447,133.385,-11.92,89,73,2.28,broken clouds
99,Ladario,BR,-19.0047,-57.6017,79.2,65,43,3.4,scattered clouds
100,Mount Isa,AU,-20.7333,139.5,84.2,58,62,12.66,broken clouds
101,Coihaique,CL,-45.5752,-72.0662,59,67,0,3.44,clear sky
102,Jalu,LY,29.0331,21.5482,58.8,41,52,6.78,broken clouds
103,Rikitea,PF,-23.1203,-134.9692,80.46,73,45,9.22,scattered clouds
104,Punta Arenas,CL,-53.15,-70.9167,48,53,40,12.66,scattered clouds
105,Ushuaia,AR,-54.8,-68.3,42.8,65,75,23.02,broken clouds
106,Storforshei,NO,66.4043,14.5233,27,83,69,1.01,broken clouds
107,Kalevala,RU,65.2,31.1667,21.2,97,100,3.6,overcast clouds
108,Vaini,TO,-21.2,-175.2,78.8,83,75,8.05,light rain
109,Faya,SA,18.3851,42.4509,64.4,31,2,1.81,dust
110,Hobart,AU,-42.8794,147.3294,59,38,0,17.27,clear sky
111,Komsomolskiy,UZ,40.4272,71.7189,39.2,87,90,18.41,heavy intensity rain
112,Ushuaia,AR,-54.8,-68.3,42.8,65,75,23.02,broken clouds
113,Rikitea,PF,-23.1203,-134.9692,80.46,73,45,9.22,scattered clouds
114,Jamestown,US,42.097,-79.2353,34,47,1,7.65,clear sky
115,Rikitea,PF,-23.1203,-134.9692,80.46,73,45,9.22,scattered clouds
116,Faya,SA,18.3851,42.4509,64.4,31,2,1.81,dust
117,Nikolskoye,RU,59.7035,30.7861,36,87,75,6.71,broken clouds
118,Hithadhoo,MV,-0.6,73.0833,84.34,65,31,8.16,scattered clouds
119,Poso,ID,-1.3959,120.7524,81.25,73,2,3.06,clear sky
120,Busselton,AU,-33.65,115.3333,60.01,71,0,4,clear sky
121,Punta Arenas,CL,-53.15,-70.9167,48,53,40,12.66,scattered clouds
122,Chuy,UY,-33.6971,-53.4616,62.73,74,9,6.17,clear sky
123,Vaini,TO,-21.2,-175.2,78.8,83,75,8.05,light rain
124,Port Blair,IN,11.6667,92.75,78.58,76,2,6.24,clear sky
125,Tukrah,LY,32.5341,20.5791,55.22,60,100,3.71,overcast clouds
126,Jamestown,US,42.097,-79.2353,34,47,1,7.65,clear sky
127,Saint-Joseph,RE,-21.3667,55.6167,77,69,0,9.22,clear sky
128,Norman Wells,CA,65.282,-126.8329,-2.2,60,75,2.3,broken clouds
129,Atuona,PF,-9.8,-139.0333,79.39,63,36,4.83,scattered clouds
130,Jamestown,US,42.097,-79.2353,34,47,1,7.65,clear sky
131,Ushuaia,AR,-54.8,-68.3,42.8,65,75,23.02,broken clouds
132,Bethel,US,41.3712,-73.414,39.99,33,0,1.01,clear sky
133,Caapucu,PY,-26.2167,-57.2,76.14,38,27,5.44,scattered clouds
134,Shiraz,IR,29.6036,52.5388,42.8,61,0,0.83,clear sky
135,Korla,CN,41.7597,86.1469,45.57,41,27,1.57,scattered clouds
136,East London,ZA,-33.0153,27.9116,75.61,73,20,13.27,few clouds
137,Bluff,NZ,-46.6,168.3333,73,46,4,14,clear sky
138,Songjianghe,CN,42.1859,127.479,34.79,84,43,4.03,scattered clouds
139,Hualmay,PE,-11.0964,-77.6139,72.73,76,4,5.01,clear sky
140,Port Elizabeth,ZA,-33.918,25.5701,71.6,68,40,8.05,light rain
141,Ushuaia,AR,-54.8,-68.3,42.8,65,75,23.02,broken clouds
142,Ushuaia,AR,-54.8,-68.3,42.8,65,75,23.02,broken clouds
143,Carballo,ES,43.213,-8.691,50,93,43,1.01,scattered clouds
144,Lasa,IT,46.6166,10.7002,39,80,90,2.3,moderate rain
145,Hithadhoo,MV,-0.6,73.0833,84.34,65,31,8.16,scattered clouds
146,Baza,ES,37.4907,-2.7726,51.01,66,8,4.47,clear sky
147,Ushuaia,AR,-54.8,-68.3,42.8,65,75,23.02,broken clouds
148,Kilindoni,TZ,-7.9139,39.6668,80.83,67,22,5.14,few clouds
149,Arraial Do Cabo,BR,-22.9661,-42.0278,77.07,87,38,10.47,scattered clouds
150,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,84,90,4.61,overcast clouds
151,Penzance,GB,50.1186,-5.5371,44.01,75,20,12.66,few clouds
152,Kralupy Nad Vltavou,CZ,50.2411,14.3115,42.01,75,0,18.41,clear sky
153,Sao Filipe,CV,14.8961,-24.4956,70.43,76,0,5.66,clear sky
154,Barra Do Garcas,BR,-15.89,-52.2567,75.31,89,86,1.16,overcast clouds
155,Hambantota,LK,6.1241,81.1185,73.4,100,20,3.44,few clouds
156,Ponta Do Sol,PT,32.6667,-17.1,57.99,73,97,1.01,overcast clouds
157,Muravlenko,RU,63.7898,74.523,6.42,95,96,15.61,overcast clouds
158,Phan Thiet,VN,10.9333,108.1,72.97,70,56,4,broken clouds
159,Bluff,NZ,-46.6,168.3333,73,46,4,14,clear sky
160,New Norfolk,AU,-42.7826,147.0587,59,55,3,8.39,clear sky
161,Carnarvon,AU,-24.8667,113.6333,86,62,1,12.66,clear sky
162,Avarua,CK,-21.2078,-159.775,84.2,70,7,5.75,clear sky
163,Mataura,NZ,-46.1927,168.8643,73,46,0,14,clear sky
164,Coahuayana,MX,18.7333,-103.6833,84.2,39,1,11.5,clear sky
165,Pinillos,CO,8.9193,-74.4677,84.47,56,85,3.56,overcast clouds
166,Faanui,PF,-16.4833,-151.75,83.26,74,19,11.59,few clouds
167,Inuvik,CA,68.3499,-133.7218,-4,65,37,6.91,scattered clouds
168,Mataura,NZ,-46.1927,168.8643,73,46,0,14,clear sky
169,Avarua,CK,-21.2078,-159.775,84.2,70,7,5.75,clear sky
170,College,US,64.8569,-147.8028,9,40,1,2.48,clear sky
171,Castro,BR,-24.7911,-50.0119,66.43,78,49,4.47,scattered clouds
172,Ilulissat,GL,69.2167,-51.1,10.4,67,20,14.97,few clouds
173,Kodiak,US,57.79,-152.4072,35.6,20,1,13.8,clear sky
174,Victoria,HK,22.2855,114.1577,69.01,81,51,1.99,broken clouds
175,Atuona,PF,-9.8,-139.0333,79.39,63,36,4.83,scattered clouds
176,San Policarpo,PH,12.1791,125.5072,78.3,87,81,3.42,broken clouds
177,New Norfolk,AU,-42.7826,147.0587,59,55,3,8.39,clear sky
178,Saint-Denis,FR,48.9167,2.3333,37.99,87,0,9.22,clear sky
179,Pangnirtung,CA,66.1451,-65.7125,-13.18,99,99,0.47,overcast clouds
180,Oranjemund,NA,-28.55,16.4333,65.79,85,5,6.6,clear sky
181,Dikson,RU,73.5069,80.5464,-21.51,96,100,16.69,overcast clouds
182,Ancud,CL,-41.8697,-73.8203,57,82,0,4.61,clear sky
183,Lebu,CL,-37.6167,-73.65,56.43,85,0,6.82,clear sky
184,East London,ZA,-33.0153,27.9116,75.61,73,20,13.27,few clouds
185,Omboue,GA,-1.5746,9.2618,78.85,87,89,4.94,overcast clouds
186,Vaini,TO,-21.2,-175.2,78.8,83,75,8.05,light rain
187,San Patricio,US,28.017,-97.5169,77,78,90,25.32,overcast clouds
188,Ilulissat,GL,69.2167,-51.1,10.4,67,20,14.97,few clouds
189,Samfya,ZM,-11.3649,29.5565,63.88,93,100,2.95,light rain
190,Rikitea,PF,-23.1203,-134.9692,80.46,73,45,9.22,scattered clouds
191,Atuona,PF,-9.8,-139.0333,79.39,63,36,4.83,scattered clouds
192,Castro,BR,-24.7911,-50.0119,66.43,78,49,4.47,scattered clouds
193,Jamestown,US,42.097,-79.2353,34,47,1,7.65,clear sky
194,Rundu,NA,-17.9333,19.7667,66.04,81,32,5.46,scattered clouds
195,Sahuaripa,MX,29.05,-109.2333,64.83,16,0,9.26,clear sky
196,Tuatapere,NZ,-46.1333,167.6833,73,46,11,14,few clouds
197,Rikitea,PF,-23.1203,-134.9692,80.46,73,45,9.22,scattered clouds
198,Rikitea,PF,-23.1203,-134.9692,80.46,73,45,9.22,scattered clouds
199,Rio Bravo,MX,25.9833,-98.1,78.8,53,1,23.02,clear sky
200,San Felipe,VE,10.3399,-68.7425,71.2,94,89,4.85,overcast clouds
201,Busselton,AU,-33.65,115.3333,60.01,71,0,4,clear sky
202,Jalu,LY,29.0331,21.5482,58.8,41,52,6.78,broken clouds
203,Fortuna,US,40.5982,-124.1573,53.01,71,1,13.8,clear sky
204,Clyde River,CA,70.4692,-68.5914,-5.8,84,90,20.71,mist
205,Port Elizabeth,ZA,-33.918,25.5701,71.6,68,40,8.05,light rain
206,Kokstad,ZA,-30.5472,29.4241,63.19,46,0,4.61,clear sky
207,Ewa Beach,US,21.3156,-158.0072,78.8,65,75,11.5,light rain
208,Vila Franca Do Campo,PT,37.7167,-25.4333,59,100,75,18.41,broken clouds
209,Ushuaia,AR,-54.8,-68.3,42.8,65,75,23.02,broken clouds
210,Ushuaia,AR,-54.8,-68.3,42.8,65,75,23.02,broken clouds
211,Fairborn,US,39.8209,-84.0194,46.4,36,1,3.44,clear sky
212,Kuytun,RU,54.3419,101.5036,5.58,79,100,21.34,overcast clouds
213,Albany,US,42.6001,-73.9662,36,43,34,4.59,scattered clouds
214,Butaritari,KI,3.0707,172.7902,80.49,79,87,11.45,light rain
215,Cabo San Lucas,MX,22.8909,-109.9124,70,60,1,9.22,clear sky
216,Bodden Town,KY,19.2833,-81.25,78.01,73,20,11.5,few clouds
217,Mataura,NZ,-46.1927,168.8643,73,46,0,14,clear sky
218,Faanui,PF,-16.4833,-151.75,83.26,74,19,11.59,few clouds
219,Esperance,AU,-33.8667,121.9,60.8,63,53,6.91,broken clouds
220,Ushuaia,AR,-54.8,-68.3,42.8,65,75,23.02,broken clouds
221,Hasaki,JP,35.7333,140.8333,57.2,41,20,16.11,few clouds
222,Valle De Allende,MX,26.9333,-105.4,75.87,8,57,28.57,broken clouds
223,Nanortalik,GL,60.1432,-45.2371,26.02,78,100,4.79,overcast clouds
224,Atuona,PF,-9.8,-139.0333,79.39,63,36,4.83,scattered clouds
225,Atuona,PF,-9.8,-139.0333,79.39,63,36,4.83,scattered clouds
226,Hobart,AU,-42.8794,147.3294,59,38,0,17.27,clear sky
227,Iqaluit,CA,63.7506,-68.5145,-18,69,75,13.8,snow
228,Kavieng,PG,-2.5744,150.7967,84.42,60,6,1.99,clear sky
229,Saskylakh,RU,71.9167,114.0833,-5.89,95,59,11.88,broken clouds
230,Ushuaia,AR,-54.8,-68.3,42.8,65,75,23.02,broken clouds
231,Busselton,AU,-33.65,115.3333,60.01,71,0,4,clear sky
232,Rikitea,PF,-23.1203,-134.9692,80.46,73,45,9.22,scattered clouds
233,Cabo Rojo,PR,18.0866,-67.1457,77,87,54,11.72,broken clouds
234,Avarua,CK,-21.2078,-159.775,84.2,70,7,5.75,clear sky
235,Abu Dhabi,AE,24.4667,54.3667,68,77,20,6.91,few clouds
236,Punta Arenas,CL,-53.15,-70.9167,48,53,40,12.66,scattered clouds
237,Barrow,US,71.2906,-156.7887,-2.2,65,1,12.66,clear sky
238,Nikolskoye,RU,59.7035,30.7861,36,87,75,6.71,broken clouds
239,Sonoita,MX,31.85,-112.8333,60.01,32,22,14.83,few clouds
240,Upernavik,GL,72.7868,-56.1549,-6.07,99,46,5.03,scattered clouds
241,Hilo,US,19.7297,-155.09,71.6,83,90,3.44,light rain
242,Atuona,PF,-9.8,-139.0333,79.39,63,36,4.83,scattered clouds
243,Esperance,AU,-33.8667,121.9,60.8,63,53,6.91,broken clouds
244,Upernavik,GL,72.7868,-56.1549,-6.07,99,46,5.03,scattered clouds
245,Ushuaia,AR,-54.8,-68.3,42.8,65,75,23.02,broken clouds
246,Vaini,TO,-21.2,-175.2,78.8,83,75,8.05,light rain
247,Paracuru,BR,-3.41,-39.0306,82,74,63,14,broken clouds
248,Mataura,NZ,-46.1927,168.8643,73,46,0,14,clear sky
249,Kieta,PG,-6.2167,155.6333,84.76,65,34,5.57,scattered clouds
250,Qaanaaq,GL,77.484,-69.3632,-1.71,63,99,7.4,overcast clouds
251,Pareora,NZ,-44.4871,171.2132,71.01,63,0,3,clear sky
252,Avera,US,33.194,-82.5271,69.8,68,1,3.44,clear sky
253,Axim,GH,4.8699,-2.2405,80.42,83,100,11.21,overcast clouds
254,Abnub,EG,27.2696,31.1511,51.8,58,0,11.5,clear sky
255,Gladstone,AU,-23.85,151.25,84.2,54,38,8.05,scattered clouds
256,Bredasdorp,ZA,-34.5322,20.0403,66.2,88,57,9.22,broken clouds
257,New Norfolk,AU,-42.7826,147.0587,59,55,3,8.39,clear sky
258,Tessalit,ML,20.1986,1.0114,65.8,40,5,9.26,clear sky
259,Lasa,IT,46.6166,10.7002,39,80,90,2.3,moderate rain
260,Hobart,AU,-42.8794,147.3294,59,38,0,17.27,clear sky
261,Maumere,ID,-8.6199,122.2111,81.19,78,79,1.34,broken clouds
262,Bereda,ES,43.2686,-7.5406,48.99,98,81,7,broken clouds
263,Dikson,RU,73.5069,80.5464,-21.51,96,100,16.69,overcast clouds
264,Mar Del Plata,AR,-38.0023,-57.5575,69.01,82,0,11.86,clear sky
265,Mao,ES,39.8885,4.2658,51.8,87,0,6.91,clear sky
266,Punta Arenas,CL,-53.15,-70.9167,48,53,40,12.66,scattered clouds
267,Alferrarede,PT,39.4833,-8.1667,51.01,75,0,1.99,clear sky
268,Natal,BR,-5.795,-35.2094,80.6,74,40,10.36,scattered clouds
269,Tamiahua,MX,21.2667,-97.45,74.7,87,8,10.83,clear sky
270,Cape Town,ZA,-33.9258,18.4232,66.99,94,75,6.91,broken clouds
271,Mataura,NZ,-46.1927,168.8643,73,46,0,14,clear sky
272,Mataura,NZ,-46.1927,168.8643,73,46,0,14,clear sky
273,Busselton,AU,-33.65,115.3333,60.01,71,0,4,clear sky
274,Vao,NC,-22.6667,167.4833,76.42,77,90,19.33,overcast clouds
275,Kodiak,US,57.79,-152.4072,35.6,20,1,13.8,clear sky
276,Atuona,PF,-9.8,-139.0333,79.39,63,36,4.83,scattered clouds
277,Tabou,CI,4.423,-7.3528,78.48,87,100,11.34,moderate rain
278,Narsaq,GL,60.9167,-46.05,24.8,58,75,2.57,broken clouds
279,Busselton,AU,-33.65,115.3333,60.01,71,0,4,clear sky
280,Tevaitoa,PF,-16.7833,-151.5,83.1,74,20,12.77,few clouds
281,Bredasdorp,ZA,-34.5322,20.0403,66.2,88,57,9.22,broken clouds
282,Atuona,PF,-9.8,-139.0333,79.39,63,36,4.83,scattered clouds
283,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.48,88,76,11.16,broken clouds
284,Leningradskiy,RU,69.3833,178.4167,23.27,84,100,4.97,overcast clouds
285,Rikitea,PF,-23.1203,-134.9692,80.46,73,45,9.22,scattered clouds
286,Buchanan,LR,5.8808,-10.0467,77,94,75,7.02,broken clouds
287,Tiksi,RU,71.6872,128.8694,-2.45,90,73,6.89,broken clouds
288,Oranjemund,NA,-28.55,16.4333,65.79,85,5,6.6,clear sky
289,Vaini,TO,-21.2,-175.2,78.8,83,75,8.05,light rain
290,Oblivskaya,RU,48.5362,42.5014,27.84,77,100,13.47,overcast clouds
291,Mataura,NZ,-46.1927,168.8643,73,46,0,14,clear sky
292,Albany,US,42.6001,-73.9662,36,43,34,4.59,scattered clouds
293,Avarua,CK,-21.2078,-159.775,84.2,70,7,5.75,clear sky
294,Guifoes,PT,41.2004,-8.6672,48.99,93,40,1.14,scattered clouds
295,Nagod,IN,24.5667,80.6,66.74,44,0,1.23,clear sky
296,Bengkulu,ID,-3.8004,102.2655,76.33,79,93,4.07,overcast clouds
297,Panama City,PA,8.9936,-79.5197,86,61,75,9.22,broken clouds
298,Visavadar,IN,21.3833,70.6833,69.53,52,0,5.82,clear sky
299,Lavrentiya,RU,65.5833,-171,15.58,80,100,20.2,light snow
300,Miami Beach,US,25.7906,-80.1301,73.99,56,20,9.22,few clouds
301,Rikitea,PF,-23.1203,-134.9692,80.46,73,45,9.22,scattered clouds
302,Esperance,AU,-33.8667,121.9,60.8,63,53,6.91,broken clouds
303,Vila Velha,BR,-20.3297,-40.2925,77,88,0,2.3,clear sky
304,Dandong,CN,40.1292,124.3947,42.62,75,0,1.21,clear sky
305,Havoysund,NO,70.9963,24.6622,26.6,86,90,4.61,overcast clouds
306,Castro,BR,-24.7911,-50.0119,66.43,78,49,4.47,scattered clouds
307,Hithadhoo,MV,-0.6,73.0833,84.34,65,31,8.16,scattered clouds
308,Chokurdakh,RU,70.6333,147.9167,-16.38,87,0,4.05,clear sky
309,Lazo,RU,43.3817,133.9014,38.16,63,100,5.17,overcast clouds
310,Mount Gambier,AU,-37.8333,140.7667,59,51,40,8.05,scattered clouds
311,Castro,BR,-24.7911,-50.0119,66.43,78,49,4.47,scattered clouds
312,Bluff,NZ,-46.6,168.3333,73,46,4,14,clear sky
313,Panuco,MX,22.05,-98.1667,75.2,88,40,11.5,scattered clouds
314,Rikitea,PF,-23.1203,-134.9692,80.46,73,45,9.22,scattered clouds
315,Ushuaia,AR,-54.8,-68.3,42.8,65,75,23.02,broken clouds
316,Yellowknife,CA,62.456,-114.3525,0,65,90,3.44,light snow
317,Twin Falls,US,42.3505,-114.6445,51.8,17,1,12.66,clear sky
318,Isla Aguada,MX,18.7833,-91.4667,80.6,78,20,11.5,few clouds
319,Rock Sound,BS,24.9,-76.2,72.68,78,5,16.6,clear sky
320,Vaini,TO,-21.2,-175.2,78.8,83,75,8.05,light rain
321,Haines Junction,CA,60.7522,-137.5108,6.8,43,100,14.97,overcast clouds
322,Arraial Do Cabo,BR,-22.9661,-42.0278,77.07,87,38,10.47,scattered clouds
323,Christchurch,NZ,-43.5333,172.6333,71.6,46,0,14.97,clear sky
324,Pozo Colorado,PY,-23.4923,-58.7972,84.04,45,73,4.47,broken clouds
325,Nara,JP,34.6851,135.8049,51.01,53,40,10.36,scattered clouds
326,Hailar,CN,49.2,119.7,30.4,63,43,17.96,scattered clouds
327,Bluff,NZ,-46.6,168.3333,73,46,4,14,clear sky
328,Oda,JP,35.1833,132.5,44.6,87,20,5.75,few clouds
329,Eyl,SO,7.9803,49.8164,76.57,85,53,11.01,broken clouds
330,Hermanus,ZA,-34.4187,19.2345,64.99,93,34,1.99,light rain
331,Victoria,HK,22.2855,114.1577,69.01,81,51,1.99,broken clouds
332,Hermanus,ZA,-34.4187,19.2345,64.99,93,34,1.99,light rain
333,Tasiilaq,GL,65.6145,-37.6368,24.8,86,75,27.63,snow
334,Pangody,RU,65.85,74.4859,6.91,95,98,12.59,overcast clouds
335,Ilulissat,GL,69.2167,-51.1,10.4,67,20,14.97,few clouds
336,Raudeberg,NO,61.9875,5.1352,41,75,99,14.03,overcast clouds
337,Airai,TL,-8.9266,125.4092,67.89,83,91,0.31,overcast clouds
338,Nikolskoye,RU,59.7035,30.7861,36,87,75,6.71,broken clouds
339,Rikitea,PF,-23.1203,-134.9692,80.46,73,45,9.22,scattered clouds
340,Tasiilaq,GL,65.6145,-37.6368,24.8,86,75,27.63,snow
341,Kapaa,US,22.0752,-159.319,73,94,90,25.32,moderate rain
342,Puerto Narino,CO,-3.7703,-70.3831,78.8,100,75,4.61,broken clouds
343,Mamallapuram,IN,12.6264,80.1722,73.4,88,20,3.44,mist
344,Barrow,US,71.2906,-156.7887,-2.2,65,1,12.66,clear sky
345,Yellowknife,CA,62.456,-114.3525,0,65,90,3.44,light snow
346,Les Cayes,HT,18.2,-73.75,74.23,79,31,5.48,scattered clouds
347,Mackay,AU,-21.15,149.2,84.2,65,50,8.05,scattered clouds
348,Ushuaia,AR,-54.8,-68.3,42.8,65,75,23.02,broken clouds
349,Nanortalik,GL,60.1432,-45.2371,26.02,78,100,4.79,overcast clouds
350,Baile Herculane,RO,44.8797,22.4125,40.44,89,0,2.77,clear sky
351,Busselton,AU,-33.65,115.3333,60.01,71,0,4,clear sky
352,Arraial Do Cabo,BR,-22.9661,-42.0278,77.07,87,38,10.47,scattered clouds
353,Maloy,NO,61.9353,5.1136,41,75,90,18.41,overcast clouds
354,Dzaoudzi,YT,-12.7887,45.2699,78.8,89,0,2.3,light rain
355,Kajaani,FI,64.2273,27.7285,28.4,100,90,6.91,overcast clouds
356,Mataura,NZ,-46.1927,168.8643,73,46,0,14,clear sky
